month,company,category,stage,amount_usd,acquirer,is_mna,source_url,source_system,record_id
2024-11-01,Company_0,tool,C,4957371.77,,False,https://example.com/deal/0,seed_synth,2024-11-01_0
2024-11-01,Company_1,application,A,7797257.39,,False,https://example.com/deal/1,seed_synth,2024-11-01_1
2024-11-01,Company_2,tool,C,5353128.78,,False,https://example.com/deal/2,seed_synth,2024-11-01_2
2024-11-01,Company_3,infrastructure,B,11780495.55,,False,https://example.com/deal/3,seed_synth,2024-11-01_3
2024-11-01,Company_4,infrastructure,B,6188794.37,,False,https://example.com/deal/4,seed_synth,2024-11-01_4
2024-11-01,Company_5,application,D,8133329.34,,True,https://example.com/deal/5,seed_synth,2024-11-01_5
2024-11-01,Company_6,application,Private,15059049.92,,False,https://example.com/deal/6,seed_synth,2024-11-01_6
2024-11-01,Company_7,tool,Seed,10295601.61,,True,https://example.com/deal/7,seed_synth,2024-11-01_7
2024-11-01,Company_8,tool,A,4618571.64,,False,https://example.com/deal/8,seed_synth,2024-11-01_8
2024-11-01,Company_9,infrastructure,D,13697179.59,,False,https://example.com/deal/9,seed_synth,2024-11-01_9
2024-11-01,Company_10,application,C,13798682.81,,True,https://example.com/deal/10,seed_synth,2024-11-01_10
2024-11-01,Company_11,infrastructure,D,11251303.05,,True,https://example.com/deal/11,seed_synth,2024-11-01_11
2024-11-01,Company_12,infrastructure,Private,12688658.32,,False,https://example.com/deal/12,seed_synth,2024-11-01_12
2024-11-01,Company_13,tool,B,13528300.84,,False,https://example.com/deal/13,seed_synth,2024-11-01_13
2024-11-01,Company_14,infrastructure,C,5266294.1,,False,https://example.com/deal/14,seed_synth,2024-11-01_14
2024-11-01,Company_15,infrastructure,Private,520441.65,,False,https://example.com/deal/15,seed_synth,2024-11-01_15
2024-11-01,Company_16,infrastructure,A,13170338.46,,False,https://example.com/deal/16,seed_synth,2024-11-01_16
2024-11-01,Company_17,application,Seed,13241714.68,,True,https://example.com/deal/17,seed_synth,2024-11-01_17
2024-11-01,Company_18,application,B,19274049.84,,False,https://example.com/deal/18,seed_synth,2024-11-01_18
2024-11-01,Company_19,infrastructure,Seed,1128938.56,,False,https://example.com/deal/19,seed_synth,2024-11-01_19
2024-11-01,Company_20,infrastructure,C,2132029.48,,False,https://example.com/deal/20,seed_synth,2024-11-01_20
2024-11-01,Company_21,tool,C,1909925.5,,False,https://example.com/deal/21,seed_synth,2024-11-01_21
2024-11-01,Company_22,tool,C,7925567.67,,True,https://example.com/deal/22,seed_synth,2024-11-01_22
2024-11-01,Company_23,infrastructure,Private,1862784.11,,False,https://example.com/deal/23,seed_synth,2024-11-01_23
2024-11-01,Company_24,infrastructure,Seed,4659882.73,,False,https://example.com/deal/24,seed_synth,2024-11-01_24
2024-11-01,Company_25,tool,D,8266315.34,,False,https://example.com/deal/25,seed_synth,2024-11-01_25
2024-11-01,Company_26,application,Private,6525181.57,,False,https://example.com/deal/26,seed_synth,2024-11-01_26
2024-11-01,Company_27,application,A,2836906.36,,False,https://example.com/deal/27,seed_synth,2024-11-01_27
2024-11-01,Company_28,tool,Seed,1080966.44,,False,https://example.com/deal/28,seed_synth,2024-11-01_28
2024-11-01,Company_29,tool,Private,2169747.85,,False,https://example.com/deal/29,seed_synth,2024-11-01_29
2024-11-01,Company_30,infrastructure,D,1860887.93,,False,https://example.com/deal/30,seed_synth,2024-11-01_30
2024-11-01,Company_31,infrastructure,Private,7631608.23,,False,https://example.com/deal/31,seed_synth,2024-11-01_31
2024-11-01,Company_32,application,B,10439171.22,,False,https://example.com/deal/32,seed_synth,2024-11-01_32
2024-11-01,Company_33,tool,C,4051647.25,,False,https://example.com/deal/33,seed_synth,2024-11-01_33
2024-11-01,Company_34,application,B,2005741.84,,False,https://example.com/deal/34,seed_synth,2024-11-01_34
2024-11-01,Company_0,application,D,9172447.51,,False,https://example.com/deal/35,seed_synth,2024-11-01_35
2024-11-01,Company_1,infrastructure,D,3302152.3,,False,https://example.com/deal/36,seed_synth,2024-11-01_36
2024-11-01,Company_2,application,Private,10038535.55,,True,https://example.com/deal/37,seed_synth,2024-11-01_37
2024-11-01,Company_3,application,C,20150965.92,,True,https://example.com/deal/38,seed_synth,2024-11-01_38
2024-11-01,Company_4,application,C,13327414.27,,False,https://example.com/deal/39,seed_synth,2024-11-01_39
2024-11-01,Company_5,application,Seed,7463072.23,,True,https://example.com/deal/40,seed_synth,2024-11-01_40
2024-11-01,Company_6,application,A,699182.93,,False,https://example.com/deal/41,seed_synth,2024-11-01_41
2024-11-01,Company_7,application,B,5238837.12,,False,https://example.com/deal/42,seed_synth,2024-11-01_42
2024-11-01,Company_8,infrastructure,D,7505129.77,,True,https://example.com/deal/43,seed_synth,2024-11-01_43
2024-11-01,Company_9,tool,A,8486326.22,,True,https://example.com/deal/44,seed_synth,2024-11-01_44
2024-11-01,Company_10,application,D,14927418.48,,False,https://example.com/deal/45,seed_synth,2024-11-01_45
2024-11-01,Company_11,infrastructure,C,7871164.6,,False,https://example.com/deal/46,seed_synth,2024-11-01_46
2024-11-01,Company_12,infrastructure,C,3847564.7,,False,https://example.com/deal/47,seed_synth,2024-11-01_47
2024-11-01,Company_13,infrastructure,A,3812779.64,,False,https://example.com/deal/48,seed_synth,2024-11-01_48
2024-11-01,Company_14,tool,C,3885164.32,,False,https://example.com/deal/49,seed_synth,2024-11-01_49
2024-11-01,Company_15,application,C,4819307.9,,False,https://example.com/deal/50,seed_synth,2024-11-01_50
2024-11-01,Company_16,tool,D,8282719.44,,True,https://example.com/deal/51,seed_synth,2024-11-01_51
2024-11-01,Company_17,tool,A,964725.76,,False,https://example.com/deal/52,seed_synth,2024-11-01_52
2024-11-01,Company_18,infrastructure,D,14783679.38,,False,https://example.com/deal/53,seed_synth,2024-11-01_53
2024-11-01,Company_19,tool,D,8945759.74,,False,https://example.com/deal/54,seed_synth,2024-11-01_54
2024-11-01,Company_20,infrastructure,A,7679229.27,,True,https://example.com/deal/55,seed_synth,2024-11-01_55
2024-11-01,Company_21,tool,C,8230401.57,,False,https://example.com/deal/56,seed_synth,2024-11-01_56
2024-11-01,Company_22,tool,B,11315403.78,,True,https://example.com/deal/57,seed_synth,2024-11-01_57
2024-11-01,Company_23,tool,D,9294228.2,,False,https://example.com/deal/58,seed_synth,2024-11-01_58
2024-11-01,Company_24,tool,Seed,11066652.59,,False,https://example.com/deal/59,seed_synth,2024-11-01_59
2024-11-01,Company_25,application,D,3894517.53,,False,https://example.com/deal/60,seed_synth,2024-11-01_60
2024-11-01,Company_26,application,D,373695.07,,True,https://example.com/deal/61,seed_synth,2024-11-01_61
2024-11-01,Company_27,infrastructure,A,7174274.14,,False,https://example.com/deal/62,seed_synth,2024-11-01_62
2024-11-01,Company_28,infrastructure,B,52126.7,,False,https://example.com/deal/63,seed_synth,2024-11-01_63
2024-11-01,Company_29,application,B,18331829.86,,False,https://example.com/deal/64,seed_synth,2024-11-01_64
2024-11-01,Company_30,tool,B,5218497.43,,False,https://example.com/deal/65,seed_synth,2024-11-01_65
2024-11-01,Company_31,infrastructure,Seed,12630326.99,,False,https://example.com/deal/66,seed_synth,2024-11-01_66
2024-11-01,Company_32,infrastructure,A,7681356.78,,False,https://example.com/deal/67,seed_synth,2024-11-01_67
2024-11-01,Company_33,application,B,9502388.1,,False,https://example.com/deal/68,seed_synth,2024-11-01_68
2024-11-01,Company_34,infrastructure,Seed,8499304.12,,False,https://example.com/deal/69,seed_synth,2024-11-01_69
2024-11-01,Company_0,infrastructure,Private,1538750.48,,False,https://example.com/deal/70,seed_synth,2024-11-01_70
2024-11-01,Company_1,tool,Seed,6930447.42,,False,https://example.com/deal/71,seed_synth,2024-11-01_71
2024-11-01,Company_2,infrastructure,Private,15128565.3,,False,https://example.com/deal/72,seed_synth,2024-11-01_72
2024-11-01,Company_3,tool,C,7966669.82,,False,https://example.com/deal/73,seed_synth,2024-11-01_73
2024-11-01,Company_4,tool,A,17173819.99,,True,https://example.com/deal/74,seed_synth,2024-11-01_74
2024-11-01,Company_5,infrastructure,A,5663418.17,,False,https://example.com/deal/75,seed_synth,2024-11-01_75
2024-11-01,Company_6,application,A,2900530.07,,False,https://example.com/deal/76,seed_synth,2024-11-01_76
2024-11-01,Company_7,application,A,13785994.21,,False,https://example.com/deal/77,seed_synth,2024-11-01_77
2024-11-01,Company_8,tool,D,13501088.27,,True,https://example.com/deal/78,seed_synth,2024-11-01_78
2024-11-01,Company_9,infrastructure,B,8660891.53,,False,https://example.com/deal/79,seed_synth,2024-11-01_79
2024-11-01,Company_10,infrastructure,B,9292933.64,,True,https://example.com/deal/80,seed_synth,2024-11-01_80
2024-11-01,Company_11,application,A,6778397.45,,True,https://example.com/deal/81,seed_synth,2024-11-01_81
2024-11-01,Company_12,infrastructure,D,8325821.67,,False,https://example.com/deal/82,seed_synth,2024-11-01_82
2024-11-01,Company_13,application,A,11334127.41,,False,https://example.com/deal/83,seed_synth,2024-11-01_83
2024-11-01,Company_14,infrastructure,C,7649239.25,,False,https://example.com/deal/84,seed_synth,2024-11-01_84
2024-11-01,Company_15,application,Private,4190009.08,,False,https://example.com/deal/85,seed_synth,2024-11-01_85
2024-11-01,Company_16,application,Private,17616230.07,,False,https://example.com/deal/86,seed_synth,2024-11-01_86
2024-11-01,Company_17,tool,Seed,8405303.35,,False,https://example.com/deal/87,seed_synth,2024-11-01_87
2024-11-01,Company_18,infrastructure,B,5922908.95,,True,https://example.com/deal/88,seed_synth,2024-11-01_88
2024-11-01,Company_19,application,Seed,7598830.66,,False,https://example.com/deal/89,seed_synth,2024-11-01_89
2024-11-01,Company_20,infrastructure,A,13241948.21,,False,https://example.com/deal/90,seed_synth,2024-11-01_90
2024-11-01,Company_21,tool,C,6636544.5,,False,https://example.com/deal/91,seed_synth,2024-11-01_91
2024-11-01,Company_22,infrastructure,C,6673793.89,,True,https://example.com/deal/92,seed_synth,2024-11-01_92
2024-11-01,Company_23,infrastructure,B,1558065.27,,False,https://example.com/deal/93,seed_synth,2024-11-01_93
2024-11-01,Company_24,tool,A,6587609.89,,False,https://example.com/deal/94,seed_synth,2024-11-01_94
2024-11-01,Company_25,infrastructure,A,13307510.2,,False,https://example.com/deal/95,seed_synth,2024-11-01_95
2024-11-01,Company_26,application,Private,3376407.94,,False,https://example.com/deal/96,seed_synth,2024-11-01_96
2024-11-01,Company_27,application,B,241179.16,,True,https://example.com/deal/97,seed_synth,2024-11-01_97
2024-11-01,Company_28,application,Private,17146624.72,,True,https://example.com/deal/98,seed_synth,2024-11-01_98
2024-11-01,Company_29,infrastructure,D,11617200.67,,True,https://example.com/deal/99,seed_synth,2024-11-01_99
2024-11-01,Company_30,tool,D,4390542.49,,False,https://example.com/deal/100,seed_synth,2024-11-01_100
2024-11-01,Company_31,tool,C,7987825.83,,False,https://example.com/deal/101,seed_synth,2024-11-01_101
2024-11-01,Company_32,infrastructure,D,2038301.92,,False,https://example.com/deal/102,seed_synth,2024-11-01_102
2024-11-01,Company_33,tool,Seed,20093096.32,,False,https://example.com/deal/103,seed_synth,2024-11-01_103
2024-11-01,Company_34,application,Private,6451328.03,,True,https://example.com/deal/104,seed_synth,2024-11-01_104
2024-11-01,Company_0,application,B,1730407.86,,True,https://example.com/deal/105,seed_synth,2024-11-01_105
2024-11-01,Company_1,application,B,9914530.71,,True,https://example.com/deal/106,seed_synth,2024-11-01_106
2024-11-01,Company_2,tool,A,1358413.85,,False,https://example.com/deal/107,seed_synth,2024-11-01_107
2024-11-01,Company_3,infrastructure,C,15678003.63,,False,https://example.com/deal/108,seed_synth,2024-11-01_108
2024-11-01,Company_4,tool,D,14488145.42,,False,https://example.com/deal/109,seed_synth,2024-11-01_109
2024-11-01,Company_5,tool,A,17146148.02,,False,https://example.com/deal/110,seed_synth,2024-11-01_110
2024-11-01,Company_6,tool,C,11320348.42,,False,https://example.com/deal/111,seed_synth,2024-11-01_111
2024-11-01,Company_7,tool,Private,19713505.66,,True,https://example.com/deal/112,seed_synth,2024-11-01_112
2024-11-01,Company_8,tool,D,4441965.22,,False,https://example.com/deal/113,seed_synth,2024-11-01_113
2024-11-01,Company_9,tool,A,119386.39,,False,https://example.com/deal/114,seed_synth,2024-11-01_114
2024-11-01,Company_10,tool,Seed,16874865.27,,False,https://example.com/deal/115,seed_synth,2024-11-01_115
2024-11-01,Company_11,tool,B,13757572.29,,False,https://example.com/deal/116,seed_synth,2024-11-01_116
2024-11-01,Company_12,application,C,2867747.7,,False,https://example.com/deal/117,seed_synth,2024-11-01_117
2024-11-01,Company_13,application,B,4974972.62,,True,https://example.com/deal/118,seed_synth,2024-11-01_118
2024-11-01,Company_14,tool,B,6768131.44,,False,https://example.com/deal/119,seed_synth,2024-11-01_119
2024-12-01,Company_0,infrastructure,C,9286723.67,,False,https://example.com/deal/0,seed_synth,2024-12-01_0
2024-12-01,Company_1,tool,Seed,6207358.48,,False,https://example.com/deal/1,seed_synth,2024-12-01_1
2024-12-01,Company_2,tool,D,7758956.35,,False,https://example.com/deal/2,seed_synth,2024-12-01_2
2024-12-01,Company_3,tool,Private,7496181.78,,False,https://example.com/deal/3,seed_synth,2024-12-01_3
2024-12-01,Company_4,application,C,11021125.19,,True,https://example.com/deal/4,seed_synth,2024-12-01_4
2024-12-01,Company_5,infrastructure,Seed,11551833.71,,False,https://example.com/deal/5,seed_synth,2024-12-01_5
2024-12-01,Company_6,tool,B,8334863.28,,False,https://example.com/deal/6,seed_synth,2024-12-01_6
2024-12-01,Company_7,infrastructure,Seed,10327742.52,,True,https://example.com/deal/7,seed_synth,2024-12-01_7
2024-12-01,Company_8,application,D,3680070.47,,False,https://example.com/deal/8,seed_synth,2024-12-01_8
